CD34,CD34
WT1,1.65810420075713,1.65810420075713
WT2,2.32538893174676,2.32538893174676
WT3,1.65073373557507,1.65073373557507
T41,1.48488976469165,1.48488976469165
T42,2.93693671938218,2.93693671938218
T43,1.83411957195024,1.83411957195024
GB1,1.59992673198623,1.59992673198623
GB2,1.86742222426356,1.86742222426356
GB3,1.64420837862156,1.64420837862156
HifiH1,2.03786437950904,2.03786437950904
HifiH2,1.40944584392031,1.40944584392031
HifiH3,1.56473996263585,1.56473996263585
HifiH41,2.09138327607027,2.09138327607027
HifiH42,1.83685464683352,1.83685464683352
HifiH43,1.50498160357145,1.50498160357145
HifiHB1,1.92343240081523,1.92343240081523
HifiHB2,1.35318117546822,1.35318117546822
HifiHB3,1.54448382652139,1.54448382652139
