PPP1R12C-Exon2,PPP1R12C-Exon2
WT1,2.83075094900314,2.83075094900314
WT2,4.71471800279682,4.71471800279682
WT3,2.92444932991308,2.92444932991308
T41,6.1865606754078,6.1865606754078
T42,8.38500790284919,8.38500790284919
T43,5.82520645244196,5.82520645244196
GB1,2.80420962824927,2.80420962824927
GB2,4.35770258981154,4.35770258981154
GB3,2.29932705090994,2.29932705090994
HifiH1,4.18253209644526,4.18253209644526
HifiH2,3.73681628093874,3.73681628093874
HifiH3,4.54470795493,4.54470795493
HifiH41,5.16312028880481,5.16312028880481
HifiH42,3.83668374147331,3.83668374147331
HifiH43,4.32857411659902,4.32857411659902
HifiHB1,7.36232138661277,7.36232138661277
HifiHB2,4.74851478329265,4.74851478329265
HifiHB3,6.156387737567,6.156387737567
